Parameterization,N,Run,Variable,Median R_hat,Maximum R_hat,Diagnostics OK,Mean,q05,q50,q95
Centered,2,48,theta[1],1.0092400000000001,1.02669,True,-0.016556809350760003,-1.20702556,0.00443838335,1.1105111849999987
Centered,2,49,log_sigma_sq,1.00577,1.01463,True,-1.1816379986675702,-3.84991292,-1.1630979,1.3605195649999986
Centered,2,49,theta[1],1.00577,1.01463,True,-0.011855041957350003,-1.121432835,-0.0075636095,1.118716119999999
Centered,2,50,log_sigma_sq,1.00803,1.02217,True,-1.3268593295552626,-4.0381776,-1.2856231,1.328040945
Centered,2,50,theta[1],1.00803,1.02217,True,0.013204853833669997,-1.04279135,0.010482100500000001,1.0896280249999997
Centered,2,51,log_sigma_sq,1.006345,1.02658,True,-1.5152395440545374,-4.5945482,-1.4358172,1.3189084850000001
Centered,2,51,theta[1],1.006345,1.02658,True,0.007345309430093751,-1.071138,0.003048418,1.0760284799999995
Centered,2,52,log_sigma_sq,1.0246,1.07306,False,-1.7798077568322523,-4.8998861,-1.7214483999999999,1.2686264749999987
Centered,2,52,theta[1],1.0246,1.07306,False,0.003367887590091501,-0.9495718235,0.0069234412,0.980376411
Centered,2,53,log_sigma_sq,1.012395,1.02932,False,-1.446429038869725,-4.33795601,-1.3614285,1.2965907149999976
Centered,2,53,theta[1],1.012395,1.02932,False,-0.000624984896752498,-1.0485792749999998,-0.0047372226,1.049717029999999
Centered,2,54,log_sigma_sq,1.0092850000000002,1.03085,False,-1.3024394479039603,-4.192368855,-1.2055351,1.350791484999999
Centered,2,54,theta[1],1.0092850000000002,1.03085,False,0.004262891719887748,-1.0802977749999998,0.0127277835,1.0633014549999995
Centered,2,55,log_sigma_sq,1.011425,1.03355,False,-1.6118739590512174,-4.2063309,-1.63061955,1.1461319549999978
Centered,2,55,theta[1],1.011425,1.03355,False,-0.005879685959777004,-0.9732966064999999,0.005276261650000001,1.01978887
Centered,2,56,log_sigma_sq,1.00793,1.02356,True,-1.520210834050635,-4.7303943,-1.3973607499999998,1.3714051749999996
Centered,2,56,theta[1],1.00793,1.02356,True,-0.0009573261105274993,-1.074506175,4.754856e-05,1.056956629999999
Centered,2,57,log_sigma_sq,1.004645,1.01453,True,-1.5461229708000501,-4.34951177,-1.6148231499999999,1.40460338
Centered,2,57,theta[1],1.004645,1.01453,True,-0.0008565629023165475,-0.966081554,0.0106514955,0.9734815115
Centered,2,58,log_sigma_sq,1.01463,1.04071,False,-1.4194778708059976,-4.5357261,-1.3156118,1.3778787349999984
Centered,2,58,theta[1],1.01463,1.04071,False,0.0007707115579270471,-1.111361195,0.0030361775499999997,1.1010823099999993
Centered,2,59,log_sigma_sq,1.0103550000000001,1.02707,False,-1.46890569018513,-4.2255991,-1.42064575,1.1109497599999998
Centered,2,59,theta[1],1.0103550000000001,1.02707,False,0.012147112742995002,-0.9992138479999997,-0.00043455722,1.0495266949999997
Centered,2,60,log_sigma_sq,1.031295,1.08913,False,-1.49088089922456,-4.3313281,-1.3984668,1.3875484049999995
Centered,2,60,theta[1],1.031295,1.08913,False,0.009293783366665004,-1.143971235,0.0463658985,1.11958446
Centered,2,61,log_sigma_sq,1.005445,1.02098,True,-1.4076606559790126,-4.3501575699999995,-1.3780028,1.5070238499999995
Centered,2,61,theta[1],1.005445,1.02098,True,-0.015833519903136,-1.12470721,0.020968731,1.0237834949999995
Centered,2,62,log_sigma_sq,1.00631,1.02343,True,-1.162401015389945,-3.8276649,-1.0995252500000001,1.2991450699999998
Centered,2,62,theta[1],1.00631,1.02343,True,0.02127935169592925,-1.078796155,0.0049147020999999996,1.1608178799999995
Centered,2,63,log_sigma_sq,1.01057,1.02376,False,-1.29594521803929,-3.9768271250000002,-1.2518439,1.2045235749999996
Centered,2,63,theta[1],1.01057,1.02376,False,0.0130660591032536,-1.067827395,0.015531634999999998,1.105342164999999
Centered,2,64,log_sigma_sq,1.007015,1.0141,True,-1.390554920000145,-4.326856965,-1.3626757,1.365817104999998
